contestId, level,solvedCount
1080,A,8485
1078,E,39
1077,F2,855
1077,F1,1304
1077,E,2083
1077,D,3153
1077,C,6017
1077,B,8202
1077,A,10777
1076,G,104
1076,F,325
1076,E,1681
1076,D,2114
1076,C,5697
1076,B,6065
1076,A,6421
1075,B,2959
1075,A,4639
1073,G,205
1073,F,227
1073,E,944
1073,D,3674
1073,C,2535
1073,B,6803
1073,A,7941
1071,E,35
1070,M,33
1070,L,108
1070,K,2971
1070,J,405
1070,I,283
1070,H,2454
1070,G,581
1070,F,2328
1070,E,795
1070,D,3033
1070,C,1265
1070,B,349
1070,A,1234
1068,C,1864
1068,B,4953
1068,A,4099
1067,E,126
1067,D,72
1067,C,341
1067,B,1237
1067,A,1312
1066,F,820
1066,E,2650
1066,D,2549
1066,C,4405
1066,B,3842
1066,A,7389
1065,G,83
1065,F,455
1065,E,524
1065,D,774
1065,C,4036
1065,B,5800
1065,A,8860
1064,B,5343
1064,A,8781
1063,F,144
1063,E,120
1063,D,239
1063,C,1721
1063,B,3033
1063,A,5944
1062,F,117
1062,E,740
1062,D,2169
1062,C,3294
1062,B,3851
1062,A,4862
1061,F,290
1061,E,207
1061,D,1289
1061,C,2782
1061,B,4368
1061,A,8651
1060,H,53
1060,G,27
1060,F,150
1060,E,1452
1060,D,2310
1060,C,3001
1060,B,5432
1060,A,7036
1059,E,653
1059,D,1496
1059,C,4164
1059,B,4913
1059,A,7375
1057,C,310
1057,B,1067
1057,A,1872
1056,H,46
1056,G,104
1056,F,288
1056,E,901
1056,D,2369
1056,C,1529
1056,B,2462
1056,A,4115
1055,G,27
1055,F,162
1055,E,373
1055,D,453
1055,C,1214
1055,B,2969
1055,A,4205
1054,H,34
1054,G,57
1054,F,159
1054,E,318
1054,D,1400
1054,C,3069
1054,B,4445
1054,A,5558
1053,E,54
1051,G,81
1051,F,890
1051,E,328
1051,D,3191
1051,C,4827
1051,B,7034
1051,A,5764
1047,B,8677
1047,A,9460
1046,I,155
1046,F,1477
1046,C,1615
1045,J,66
1045,I,1526
1045,H,206
1045,G,606
1045,F,45
1045,E,37
1045,D,294
1045,C,354
1045,B,286
1045,A,126
1044,F,183
1044,E,39
1044,D,438
1044,C,733
1044,B,986
1044,A,1888
1043,G,36
1043,F,788
1043,E,1802
1043,D,2814
1043,C,4083
1043,B,4660
1043,A,7056
1042,F,650
1042,E,689
1042,D,2377
1042,C,2829
1042,B,5397
1042,A,6398
1041,F,774
1041,E,1911
1041,D,3385
1041,C,4743
1041,B,7651
1041,A,10374
1040,B,4675
1040,A,6382
1039,E,65
1039,D,338
1039,C,748
1039,B,1335
1039,A,511
1038,F,141
1038,E,608
1038,D,3891
1038,C,5850
1038,B,7215
1038,A,8386
1037,H,158
1037,G,126
1037,F,568
1037,E,1630
1037,D,4659
1037,C,6729
1037,B,6445
1037,A,6781
1036,G,175
1036,F,674
1036,E,813
1036,D,4320
1036,C,2809
1036,B,3977
1036,A,6867
1034,E,84
1034,D,70
1034,C,284
1034,B,1260
1034,A,3751
1033,G,49
1033,F,176
1033,E,234
1033,D,1302
1033,C,2836
1033,B,4482
1033,A,4673
1032,G,182
1032,F,348
1032,E,865
1032,D,1715
1032,C,1887
1032,B,3855
1032,A,5076
1031,F,128
1031,E,244
1031,D,1565
1031,C,3395
1031,B,2922
1031,A,7667
1030,G,178
1030,F,454
1030,E,1666
1030,D,3707
1030,C,6051
1030,B,7315
1030,A,15608
1029,F,1310
1029,E,1147
1029,D,1878
1029,C,3691
1029,B,7018
1029,A,6397
1028,H,252
1028,G,223
1028,F,309
1028,E,782
1028,D,1226
1028,C,3015
1028,B,5269
1028,A,6842
1027,G,131
1027,F,573
1027,E,909
1027,D,3448
1027,C,4282
1027,B,5945
1027,A,8460
1025,G,113
1025,F,304
1025,E,331
1025,D,1857
1025,C,4015
1025,B,4370
1025,A,7497
1023,G,27
1023,F,413
1023,E,1248
1023,D,2762
1023,C,5816
1023,B,6522
1023,A,5609
1020,B,7709
1020,A,6688
1019,E,93
1019,D,289
1019,C,481
1019,B,1135
1019,A,3104
1017,H,34
1017,G,168
1017,F,516
1017,E,538
1017,D,2226
1017,C,4068
1017,B,6558
1017,A,9773
1016,G,113
1016,F,355
1016,E,575
1016,D,2724
1016,C,2314
1016,B,5725
1016,A,8265
1015,F,389
1015,E2,1526
1015,E1,2246
1015,D,3470
1015,C,7258
1015,B,5993
1015,A,9856
1013,B,4600
1013,A,6604
1012,F,45
1012,E,92
1012,D,138
1012,C,1527
1012,B,2023
1012,A,4120
1011,B,5951
1011,A,7357
1010,F,44
1010,E,184
1010,D,1403
1010,C,2710
1010,B,2932
1010,A,5099
1009,G,279
1009,F,879
1009,E,1562
1009,D,3476
1009,C,3438
1009,B,5232
1009,A,7927
1008,B,6965
1008,A,7901
1007,E,32
1007,D,55
1007,C,158
1007,B,609
1007,A,6576
1006,F,1491
1006,E,3674
1006,D,3189
1006,C,6996
1006,B,6629
1006,A,10750
1005,F,619
1005,E2,509
1005,E1,1781
1005,D,4071
1005,C,5077
1005,B,8013
1005,A,9948
1004,F,164
1004,E,502
1004,D,839
1004,C,4812
1004,B,5606
1004,A,7106
1003,F,491
1003,E,1173
1003,D,3470
1003,C,5193
1003,B,5381
1003,A,10349
1002,E2,149
1002,E1,246
1002,D3,248
1002,D2,283
1002,D1,299
1002,C2,190
1002,C1,216
1002,B4,229
1002,B3,313
1002,B2,337
1002,B1,362
1002,A4,190
1002,A3,351
1002,A2,408
1002,A1,466
1001,I,285
1001,H,365
1001,G,381
1001,F,379
1001,E,396
1001,D,493
1001,C,466
1001,B,504
1001,A,693
1000,G,150
1000,F,809
1000,E,1027
1000,D,1780
1000,C,3050
1000,B,3142
1000,A,5657
999,F,975
999,E,2272
999,D,1759
999,C,6463
999,B,7837
999,A,9683
998,B,5693
998,A,5963
997,E,106
997,D,172
997,C,571
997,B,1931
997,A,5003
996,B,4772
996,A,10947
995,F,283
995,E,267
995,D,461
995,C,1011
995,B,4600
995,A,998
994,B,3692
994,A,7587
993,F,23
993,E,556
993,D,371
993,C,962
993,B,1410
993,A,2611
992,E,511
992,D,1050
992,C,3146
992,B,3522
992,A,7224
991,F,173
991,E,1916
991,D,3927
991,C,4612
991,B,6666
991,A,6933
990,G,595
990,F,474
990,E,1218
990,D,2299
990,C,3839
990,B,5445
990,A,7029
989,E,132
989,D,332
989,C,2444
989,B,4842
989,A,6754
988,F,974
988,E,1678
988,D,2892
988,C,4687
988,B,7641
988,A,10075
987,C,5475
987,B,7121
987,A,8744
986,F,131
986,E,289
986,D,156
986,C,1075
986,B,2796
986,A,3375
985,G,148
985,F,671
985,E,1523
985,D,1337
985,C,3898
985,B,5305
985,A,6040
984,B,5360
984,A,8646
983,E,325
983,D,106
983,C,585
983,B,2797
983,A,3352
982,F,109
982,E,295
982,D,1396
982,C,4174
982,B,4861
982,A,6002
981,H,91
981,G,348
981,F,329
981,E,987
981,D,1775
981,C,3070
981,B,4318
981,A,5184
980,F,66
980,E,973
980,D,1141
980,C,2766
980,B,3438
980,A,7214
979,E,206
979,D,852
979,C,3205
979,B,2851
979,A,7545
978,G,1963
978,F,3305
978,E,4024
978,D,3468
978,C,6739
978,B,9764
978,A,8769
977,F,4014
977,E,4874
977,D,6036
977,C,8484
977,B,10119
977,A,17549
976,F,234
976,E,1273
976,D,390
976,C,3895
976,B,4162
976,A,6691
975,E,217
975,D,1299
975,C,4145
975,B,4777
975,A,5787
967,B,3431
967,A,3115
965,E,574
965,D,1621
965,C,1415
965,B,3172
965,A,5442
964,B,3314
964,A,5857
963,E,81
963,D,499
963,C,344
963,B,1499
963,A,2137
962,G,54
962,F,366
962,E,695
962,D,3512
962,C,4702
962,B,5198
962,A,7591
961,G,284
961,F,211
961,E,1740
961,D,2046
961,C,3506
961,B,5652
961,A,6557
960,H,73
960,G,321
960,F,1256
960,E,706
960,D,1123
960,C,2492
960,B,3928
960,A,5313
959,F,490
959,E,1879
959,D,1694
959,C,3327
959,B,5128
959,A,10505
958,F3,185
958,F2,707
958,F1,1044
958,E3,93
958,E2,355
958,E1,920
958,D2,51
958,D1,1192
958,C3,182
958,C2,627
958,C1,1471
958,B2,338
958,B1,1629
958,A3,25
958,A2,582
958,A1,1197
957,A,3924
955,F,87
955,E,40
955,D,187
955,C,1254
955,B,3139
955,A,4554
954,I,248
954,H,193
954,G,867
954,F,498
954,E,1050
954,D,2661
954,C,2344
954,B,3916
954,A,6020
952,G,148
952,F,153
952,E,397
952,D,1603
952,C,2091
952,B,1316
952,A,6629
950,B,5290
950,A,7832
949,F,23
949,E,266
949,D,538
949,C,1178
949,B,2541
949,A,3575
948,A,5752
946,G,230
946,F,246
946,E,602
946,D,2143
946,C,5332
946,B,6383
946,A,8228
940,F,448
940,E,1430
940,D,2424
940,C,3539
940,B,4560
940,A,5270
939,F,275
939,E,1702
939,D,3310
939,C,3235
939,B,6556
939,A,8038
938,G,135
938,F,189
938,E,571
938,D,1870
938,C,2195
938,B,5990
938,A,7222
937,B,4486
937,A,8153
936,E,82
936,D,101
936,C,710
936,B,1882
936,A,3227
935,F,178
935,E,552
935,D,1589
935,C,3356
935,B,7298
935,A,11284
934,B,5820
934,A,4418
933,E,56
933,D,122
933,C,338
933,B,1358
933,A,2617
932,G,158
932,F,439
932,E,932
932,D,935
932,C,2962
932,B,4788
932,A,6558
931,C,2433
931,B,4854
931,A,6636
930,E,124
930,D,233
930,C,1164
930,B,1719
930,A,3801
929,D,129
929,C,1007
929,B,1943
929,A,2312
928,D,699
928,C,816
928,B,1774
928,A,2383
927,A,1
926,J,96
926,I,505
926,H,128
926,G,955
926,F,73
926,E,371
926,D,676
926,C,1260
926,B,996
926,A,2044
925,F,38
925,E,125
925,D,325
925,C,845
925,B,1576
