contestId, Problem_name, type, rating, tags, level
1137,Camp Schedule,PROGRAMMING,1700,['hashing'/ 'strings'],B
1137,Skyscrapers,PROGRAMMING,1600,['implementation'/ 'sortings'],A
1136,Nastya Hasn't Written a Legend,PROGRAMMING,2500,['binary search'/ 'data structures'],E
1136,Nastya Is Buying Lunch,PROGRAMMING,1800,['greedy'],D
1136,Nastya Is Transposing Matrices,PROGRAMMING,1500,['constructive algorithms'/ 'sortings'],C
1136,Nastya Is Playing Computer Games,PROGRAMMING,1000,['constructive algorithms'/ 'math'],B
1136,Nastya Is Reading a Book,PROGRAMMING,700,['implementation'],A
1133,Spanning Tree with One Fixed Degree,PROGRAMMING,2200,['constructive algorithms'/ 'dfs and similar'/ 'dsu'/ 'graphs'/ 'greedy'],F2
1133,Spanning Tree with Maximum Degree,PROGRAMMING,1600,['graphs'],F1
1133,K Balanced Teams,PROGRAMMING,2000,['dp'/ 'sortings'/ 'two pointers'],E
1133,Zero Quantity Maximization,PROGRAMMING,1500,['hashing'/ 'math'/ 'number theory'],D
1133,Balanced Team,PROGRAMMING,1300,['sortings'/ 'two pointers'],C
1133,Preparation for International Women's Day,PROGRAMMING,1300,['math'/ 'number theory'],B
1133,Middle of the Contest,PROGRAMMING,1000,['implementation'],A
1132,Greedy Subsequences,PROGRAMMING,2600,['data structures'/ 'dp'/ 'trees'],G
1132,Clear the String,PROGRAMMING,2000,['dp'],F
1132,Knapsack,PROGRAMMING,2400,['dfs and similar'/ 'dp'/ 'greedy'],E
1132,Stressful Training,PROGRAMMING,2300,['binary search'/ 'greedy'],D
1132,Painting the Fence,PROGRAMMING,1700,['brute force'],C
1132,Discounts,PROGRAMMING,900,['greedy'/ 'sortings'],B
1132,Regular Bracket Sequence,PROGRAMMING,1100,['greedy'/ 'implementation'],A
1131,Most Dangerous Shark,PROGRAMMING,2900,['data structures'/ 'dp'/ 'two pointers'],G
1131,Asya And Kittens,PROGRAMMING,1700,['constructive algorithms'/ 'dsu'],F
1131,String Multiplication,PROGRAMMING,2200,['dp'/ 'greedy'/ 'strings'],E
1131,Gourmet choice,PROGRAMMING,2000,['dfs and similar'/ 'dp'/ 'dsu'/ 'graphs'/ 'greedy'],D
1131,Birthday,PROGRAMMING,1200,['binary search'/ 'greedy'/ 'sortings'],C
1131,Draw!,PROGRAMMING,1300,['greedy'/ 'implementation'],B
1131,Sea Battle,PROGRAMMING,800,['math'],A
1130,Connect,PROGRAMMING,1400,['brute force'/ 'dfs and similar'/ 'dsu'],C
1130,Two Cakes,PROGRAMMING,1200,['greedy'],B
1130,Be Positive,PROGRAMMING,900,['implementation'],A
1129,Legendary Tree,PROGRAMMING,3000,['binary search'/ 'trees'],E
1129,Isolation,PROGRAMMING,2800,['data structures'/ 'dp'],D
1129,Morse Code,PROGRAMMING,2300,['binary search'/ 'data structures'/ 'dp'/ 'hashing'/ 'sortings'/ 'string suffix structures'/ 'strings'],C
1129,Wrong Answer,PROGRAMMING,2200,['constructive algorithms'],B
1129,Toy Train,PROGRAMMING,1800,['brute force'/ 'greedy'],A2
1129,Toy Train (Simplified),PROGRAMMING,1700,['brute force'/ 'greedy'],A1
1121,System Testing,PROGRAMMING,1900,['implementation'],C
1121,Mike and Children,PROGRAMMING,1200,['brute force'/ 'implementation'],B
1121,Technogoblet of Fire,PROGRAMMING,1100,['implementation'/ 'sortings'],A
1120,Secret Letters,PROGRAMMING,2900,['data structures'/ 'dp'/ 'greedy'],F
1120,The very same Munchhausen,PROGRAMMING,3000,['brute force'],E
1120,Power Tree,PROGRAMMING,2400,['dfs and similar'/ 'dp'/ 'dsu'/ 'graphs'/ 'greedy'/ 'trees'],D
1120,Compress String,PROGRAMMING,2200,['dp'/ 'strings'],C
